step,num_problems,num_observed_this_step,num_even_problem_id,num_odd_problem_id,p_mean,all_correct_fraction,independent_rollout_entropy_step_sum_nats,I_independent_all_sum_nats,I_independent_even_sum_nats,I_independent_odd_sum_nats,I_independent_even_plus_odd_sum_nats,action_entropy_per_token_avg_mean,action_entropy_seq_cumulative_avg_mean,reward_var_mean
1,200,200,100,100,0.2215625,0.0,49.254025165694266,49.254025165694266,25.345984961729688,23.90804020396458,49.254025165694266,0.5187921264959732,30.52383916079998,0.342890625
2,200,200,100,100,0.37,0.05,19.419386683902964,68.67341184959723,35.17663915174683,33.4967726978504,68.67341184959724,0.49280446270073297,26.551020675897597,0.1061328125
3,200,200,100,100,0.386875,0.2,8.500125015640041,77.17353686523727,39.73363813342648,37.439898731810786,77.17353686523727,0.49431480779952836,25.818097564280034,0.0437109375
4,200,200,100,100,0.385,0.19,9.112270852647434,86.28580771788472,45.47677595761752,40.809031760267196,86.28580771788472,0.49697711129003436,25.372360274791717,0.0475390625
5,200,200,100,100,0.386875,0.235,7.485896301580874,93.77170401946559,49.79372104737559,43.97798297209,93.77170401946559,0.49833709564598394,25.023775238394737,0.0394921875
6,200,200,100,100,0.38234375,0.22,8.539897835878477,102.31160185534407,54.64608293582327,47.6655189195208,102.31160185534407,0.5058527935850725,24.851024776399136,0.04681640625
7,200,200,100,100,0.3815625,0.235,7.527950078869088,109.83955193421315,58.81833993328739,51.02121200092577,109.83955193421316,0.5061469786502858,24.658923064172267,0.040546875
8,200,200,100,100,0.37859375,0.255,7.354821455927686,117.19437339014084,62.66390062117282,54.530472768968025,117.19437339014084,0.5030309154580027,24.494225354790686,0.04193359375
9,200,200,100,100,0.37515625,0.24,7.956690329276035,125.15106371941688,66.24099645990478,58.910067259512104,125.15106371941688,0.5051141015790926,24.4868416339159,0.04392578125
10,200,186,100,100,0.378125,0.265,7.266938602714803,132.4180023221317,70.3289741959017,62.08902812622999,132.41800232213168,0.5060808036163508,24.361014576256274,0.0409765625
11,200,63,100,100,0.37703125,0.26,7.131815147812035,139.54981746994372,73.50787536026753,66.04194210967619,139.54981746994372,0.5001577334315153,24.27058588504791,0.04009765625
12,200,57,100,100,0.380625,0.255,6.695921151407505,146.24573862135122,77.2883404085954,68.95739821275582,146.24573862135122,0.49738705377255427,24.195535520613195,0.035546875
13,200,52,100,100,0.38265625,0.285,4.988815963274338,151.23455458462558,80.00311636690493,71.23143821772062,151.23455458462556,0.4940702414215957,24.140442049503328,0.02630859375
14,200,51,100,100,0.38234375,0.29,5.053140471794393,156.28769505641995,83.0990428630319,73.18865219338807,156.28769505641998,0.493894003222731,24.12201480537653,0.02712890625
15,200,46,100,100,0.38125,0.27,5.798804969317068,162.08650002573705,86.74046970186937,75.34603032386765,162.08650002573702,0.4885299740301969,24.069227707386016,0.0308984375
16,200,42,100,100,0.3778125,0.275,5.8139398224547,167.90043984819172,90.54325103187288,77.35718881631887,167.90043984819175,0.47996126946908474,24.012240514457226,0.0314453125
17,200,40,100,100,0.37828125,0.285,4.586492238463579,172.48693208665532,93.03893719588946,79.44799489076584,172.48693208665532,0.47579751181408825,23.95900881767273,0.02416015625
18,200,38,100,100,0.37859375,0.27,5.939641397762494,178.42657348441782,96.37816934947942,82.0484041349384,178.42657348441782,0.47006589378315655,23.868646366596224,0.03232421875
19,200,38,100,100,0.3815625,0.31,4.469347623840369,182.8959211082582,99.52935238725189,83.36656872100627,182.89592110825816,0.4686722500769554,23.84615347981453,0.025625
20,200,37,100,100,0.38171875,0.315,4.45241347239894,187.3483345806571,101.94380675292902,85.40452782772809,187.3483345806571,0.4674649785508715,23.817640983760356,0.02611328125
21,200,36,100,100,0.38109375,0.325,4.4251486434044,191.77348322406152,104.24249914015722,87.5309840839043,191.77348322406152,0.46432560700707315,23.80245150446892,0.02580078125
22,200,35,100,100,0.38296875,0.335,4.6075958665563155,196.38107909061782,107.16588214354347,89.21519694707438,196.38107909061785,0.4646215317529288,23.799172140955925,0.02853515625
23,200,32,100,100,0.38109375,0.32,4.943695637283335,201.32477472790117,110.93224821245259,90.39252651544858,201.32477472790117,0.4635226740214841,23.78421630948782,0.03005859375
24,200,26,100,100,0.38046875,0.32,5.061623933533029,206.3863986614342,114.5333841916442,91.85301446979001,206.3863986614342,0.4601487405508249,23.710140255391597,0.02994140625
25,200,26,100,100,0.38,0.32,5.216517166478102,211.60291582791228,118.02484529176843,93.57807053614385,211.60291582791228,0.46084574215570945,23.717504073679446,0.03234375
26,200,25,100,100,0.38328125,0.33,4.844758166186537,216.4476739940988,121.18029600446987,95.26737798962897,216.44767399409884,0.46110069930773845,23.716226693093777,0.03056640625
27,200,23,100,100,0.38359375,0.33,4.424212988309846,220.87188698240865,124.61001817198677,96.26186881042192,220.87188698240868,0.46095483711736757,23.72611078068614,0.02720703125
28,200,22,100,100,0.3840625,0.325,5.009721218873555,225.88160820128223,127.84810131475287,98.03350688652937,225.88160820128223,0.4618127968776088,23.738523817658425,0.0305859375
29,200,21,100,100,0.3825,0.315,5.060260789627002,230.94186899090923,131.16385886511125,99.778010125798,230.94186899090926,0.4603936951670974,23.729619789868593,0.0313671875
30,200,21,100,100,0.38296875,0.33,5.099961618310104,236.04183060921935,134.81426043835825,101.22757017086106,236.0418306092193,0.4601247349433146,23.716316639184953,0.03240234375
31,200,21,100,100,0.38578125,0.34,4.101058491147777,240.14288910036714,138.01493902297287,102.12795007739423,240.14288910036709,0.46159818008980225,23.72067512050271,0.02533203125
32,200,20,100,100,0.38671875,0.34,3.8319374947074105,243.97482659507452,140.89764668467836,103.07717991039617,243.97482659507455,0.464022497869471,23.747837911248208,0.02294921875
33,200,19,100,100,0.38765625,0.335,3.99684604183054,247.97167263690508,143.77992065527195,104.19175198163309,247.97167263690505,0.46668591254359787,23.763757673352956,0.02376953125
34,200,18,100,100,0.38734375,0.32,4.080670933647482,252.05234357055255,146.6041503052009,105.44819326535162,252.05234357055252,0.4659640826315913,23.745241782069208,0.02310546875
35,200,17,100,100,0.3875,0.345,3.613719454369649,255.66606302492218,149.1136538307618,106.55240919416038,255.66606302492215,0.4642443225260013,23.72819169014692,0.0219921875
36,200,17,100,100,0.38921875,0.34,3.024556972935123,258.6906199978573,151.62629754808097,107.06432244977633,258.6906199978573,0.46314007620661246,23.72779748260975,0.01728515625
37,200,17,100,100,0.388125,0.335,3.7911301842853056,262.4817501821426,154.2910349526922,108.19071522945039,262.4817501821426,0.46216594623155816,23.739942678809165,0.0219921875
38,200,17,100,100,0.3875,0.34,3.5408762110205254,266.02262639316314,156.70551838403867,109.31710800912447,266.02262639316314,0.46183317456035994,23.72756522923708,0.0207421875
39,200,17,100,100,0.388125,0.345,3.44508247034526,269.4677088635084,158.96757936267554,110.50012950083286,269.4677088635084,0.46328561646805666,23.738319289386272,0.0206640625
40,200,16,100,100,0.38765625,0.345,3.5310409178565605,272.99874978136495,161.17496602783484,111.8237837535301,272.99874978136495,0.46399295503282345,23.743892428427934,0.02138671875
41,200,16,100,100,0.3859375,0.335,4.249732212903487,277.24848199426845,164.06986905592703,113.17861293834143,277.24848199426845,0.4642455521549731,23.74372565329075,0.02578125
42,200,16,100,100,0.3859375,0.33,4.215233465533677,281.46371545980213,166.72495158575808,114.73876387404404,281.46371545980213,0.4639856395455763,23.743628229796887,0.02484375
43,200,14,100,100,0.38828125,0.345,3.291104458244308,284.75481991804645,168.9749037647756,115.77991615327082,284.75481991804645,0.4640997339552574,23.742203018665315,0.01955078125
44,200,14,100,100,0.38734375,0.34,3.793459757904394,288.5482796759509,171.941403408157,116.60687626779385,288.5482796759508,0.46525361775075114,23.748219698667526,0.02271484375
45,200,14,100,100,0.3884375,0.35,3.1697097221897077,291.7179893981405,174.0985880324613,117.61940136567925,291.71798939814056,0.4682216265772643,23.779871221780777,0.01921875
46,200,14,100,100,0.3875,0.345,3.726323565607962,295.44431296374853,176.50903613093757,118.93527683281093,295.44431296374853,0.465810197289353,23.760753268301485,0.022734375
